EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,306,95,FAB,0006-00000812,2627,131,2,1,1,0,1110104000,16,0,0,32400.0
2026,307,54,FAB,0011-00005933,3218,132,3,9,3,0,1110105000,50,0,0,94889.98
2026,1333,1904,COM,2026-70960025,50087,131,2,5,6,0,1110104000,16,0,0,1418000.0
2026,1336,375,FAB,0003-00000192,1603,132,2,1,1,0,1110106000,25,0,0,59400.0
2026,1337,1126,FAB,0003-00000197,1603,132,5,1,4,0,1110106000,42,0,0,110000.0
2026,1339,1109,FAB,0003-00000196,1603,132,2,1,1,0,1110106000,43,0,0,66000.0
2026,1341,1320,COM,2024-00002210,50209,131,5,1,7,0,1110101000,1,0,0,155521.19
2026,1342,1949,COM,2026-23610000,50256,131,5,1,7,0,1110101000,1,0,0,358750.0
2026,1351,1951,FAS,0004-68183085,789,110,3,1,3,0,1110108000,29,0,0,23644.98
2026,1351,1951,FAS,0002-00098652,789,110,3,1,1,0,1110108000,29,0,0,147811.12
2026,1351,1951,FAA,0007-00184087,789,110,3,1,4,0,1110108000,29,0,0,30647.93
2026,1351,1951,FAA,0007-00184194,789,110,3,1,4,0,1110108000,29,0,0,30772.18
2026,1351,1951,FAS,0002-00098715,789,110,3,1,1,0,1110108000,29,0,0,233756.1
2026,1351,1951,FAS,0002-00098682,789,110,3,1,1,0,1110108000,29,0,0,132981.41
2026,1351,1951,COM,2026-02000001,789,110,3,3,9,0,1110108000,29,0,0,543589.0
2026,1351,1951,FAS,0119-06578267,789,110,3,1,2,0,1110108000,29,0,0,32330.54
2026,1351,1951,FAS,0005-00551519,789,110,3,1,9,0,1110108000,29,0,0,58548.95
2026,1351,1951,FAS,0004-68183086,789,110,3,1,3,0,1110108000,29,0,0,24065.11
2026,1351,1951,FAS,0119-06578466,789,110,3,1,2,0,1110108000,29,0,0,19250.04
2026,1352,932,FAB,0003-00001796,163,110,2,9,6,0,1110118000,46,0,0,974460.0
2026,1352,932,FAB,0003-00001796,163,110,3,3,3,0,1110118000,46,0,0,942250.0
2026,1353,1645,FAB,0003-00001817,163,110,2,9,6,0,1110118000,46,0,0,624000.0
2026,1353,1645,FAB,0003-00001817,163,110,3,3,2,0,1110118000,46,0,0,652200.0
2026,1355,1251,FAB,0003-00001813,163,110,3,3,2,0,1110118000,48,0,0,1988250.0
2026,1356,933,FAB,0003-00001806,163,131,3,3,3,0,1110111000,23,0,0,7842000.0
2026,1358,1487,FAB,0003-00001815,163,131,3,3,3,0,1110111000,23,0,0,4378030.0
2026,1360,1488,FAB,0003-00001816,163,131,3,3,3,0,1110111000,23,0,0,383250.0
2026,1362,139,FAB,0002-00005478,2334,110,3,4,6,0,1110102000,1,0,0,800065.0
2026,1363,1046,FAB,0011-00006128,3218,132,3,9,3,0,1110105000,50,0,0,97262.26
2026,1161,1697,COM,2025-37160000,50410,110,3,8,3,0,1110117000,34,0,0,64000.0
2026,1169,1700,FAB,2032-00042923,50280,110,3,5,1,0,1110104000,16,0,0,7299.93
2026,1169,1700,FAB,2032-00043452,50280,110,3,5,1,0,1110104000,16,0,0,7299.93
2026,1169,1700,FAB,2032-00042772,50280,110,3,5,1,0,1110104000,16,0,0,7299.93
2026,1169,1700,FAB,2032-00043163,50280,110,3,5,1,0,1110104000,16,0,0,7299.93
2026,1169,1700,FAB,2032-00043388,50280,110,3,5,1,0,1110104000,16,0,0,7299.93
2026,1169,1700,FAC,2002-00000934,50280,110,2,9,6,0,1110104000,16,0,0,95000.0
